,smiles,score,likelihood
0,O=C(CC1N=C(c2ccccc2)C1)c1ccc(O)c(O)n1,4505.2134,-33.27445
1,CCOc1nc(=NCC(=O)Nc2ccccc2)sc2c1OCC2,4404.209,-35.343452
2,COc1ccccc1N(C)CCC(=O)Nc1ccccc1,4135.4424,-18.023834
3,Cc1ccccc1C(=O)Nc1nccc2ccccc12,4107.826,-19.757769
4,COc1ccccc1NC(C)c1ccc(O)cc1,4045.906,-19.754515
5,CCCc1ccccc1C1CCCNc2ccccc21,3925.394,-22.2631
6,CCOCc1ccc(Br)cc1Cl,3847.8896,-14.186808
7,O=C(Nc1ccccc1)c1ccc(Oc2ccccc2)cc1,3792.0378,-18.90551
8,COc1cnc(-c2ccccc2)cc1,3750.2039,-12.714904
9,CNCCC(=O)NCc1ccc(C)cc1,3733.1997,-19.598946
10,Cc1ccccc1Nc1ccccc1,3691.132,-14.7937355
11,O=C(CCc1ccccc1)c1ccc(C2=CCCC2)cc1,3635.9893,-26.244652
12,CCc1ccc(CCN(CC2CC(=O)Nc3ccccc3)C2)cc1,3530.5415,-32.485435
13,COc1ccccc1NC(=O)C1CCOCC1,3492.4934,-16.828098
14,CCCCNC(=O)c1ccccc1,3365.807,-10.860128
15,CC1CCN(c2nc3ccccc3s2)C21CCC2O,3349.6792,-31.376328
16,COc1ccc(C=NOC)cc1-c1ncc(C#N)cc1O,3343.1973,-35.090054
17,Cc1ccccc1C(=O)c1ncccc1C1c2ccccc1O2,3316.084,-28.927795
18,COc1cccnc1Nc1ccccc1O,3316.0596,-18.068233
19,COc1ccccc1Cc1ccccc1,3315.721,-11.648373
20,CNCc1ccccc1,3291.7695,-10.398256
21,COc1ccc(C=Cc2ccccc2)cc1,3277.8044,-12.912731
22,CNC(=O)c1ccccc1C1(c2cccc(O)c2)CC1,3275.3982,-21.868168
23,CCNCC(C)c1ccc(Cl)c(Cl)c1O,3256.153,-23.805155
24,COc1ccc(CN2CCCC2=O)cc1,3254.6313,-15.908383
25,COc1cc(C(F)(F)F)ccc1,3218.1895,-11.650274
26,CCNC(=O)c1ccccc1NC(=O)C1C(=O)N=C(c2ccccc2)C1c1ncccn1,3148.5493,-38.142303
27,CCCC(=O)NC(CCCCO)c1ccccc1,3122.731,-21.26538
28,CCNCC(C)c1ccc(Br)c(C)c1,3075.7798,-26.112597
29,CC(C)Cc1ccc(Cl)cc1Cl,3074.018,-12.107718
30,COc1ccccc1CCNC(=O)C1CCCCC1,3051.154,-17.373625
31,CC(C)NCC(=O)Cc1ccccc1Cl,3023.6626,-21.237492
32,COc1ccccc1N(CC=CC1CCCCC1)c1ccccc1,3020.4846,-25.527615
33,Cc1ncccc1NCCCCc1ncccc1,3006.467,-26.10543
34,O=C(C(CC1CCCC1)NC(=O)c1sccc1Cl)c1ccc(Br)cc1,3002.949,-31.547539
35,CC(C)CNC(=O)c1ccccc1,3002.0903,-10.400969
36,CCc1ccc(OC)cc1,2983.873,-11.591871
37,CC(C)Cc1ccccc1Cl,2965.696,-11.328401
38,CCCNC(=O)c1ccccc1,2943.368,-11.023604
39,COc1ccccc1NOCC(=O)c1ccccc1,2940.5076,-19.241056
40,CCCCCc1ccc(O)c(F)c1,2913.6826,-17.005562
41,C=C(C)c1ccccc1C(F)(F)F,2897.9968,-15.199411
42,O=C(Nc1ccccc1)c1cccc(-c2ccccc2)c1,2889.703,-16.117634
43,CC(C)N=CNC(=O)Cc1ccc(O)cc1Cl,2876.2058,-25.463959
44,Cc1cccc(O)c1CN,2805.694,-16.805338
45,CN=Cc1ccccc1O,2745.8164,-15.307562
46,Cc1ccccc1Sc1ccccc1,2720.2578,-16.837902
47,CC(C)Cc1cccc(Cl)c1O,2710.432,-14.910294
48,CCC(COc1ccccc1)C(C)(C)CCO,2664.5762,-25.23793
49,COc1ccccc1Cl,2657.729,-8.273895
